Gene name,UCSC ID,G2 mRNA RPKM,M mRNA RPKM,G1 mRNA RPKM,G2 mRNA Read Count,M mRNA Read Count,G1 mRNA Read Count
KPNA6,uc001bug.2,27.2,31.5,36.7,966,1876,1700
TAF4B,uc002kvu.3,3.1,2.2,2.6,176,214,191
EMP3,uc002piv.2,427,446.3,519.6,4330,7984,7117
NHEJ1,uc002vjp.3,17.5,23.1,26.9,337,750,688
PDGFRL,uc003wxr.2,12.5,9.6,11.2,310,404,361
C10orf26,uc001kwf.3,27,18.4,21.4,613,712,653
GYPC,uc002tnq.2,44.7,32.2,37.5,362,424,399
AP2S1,uc002pft.1,516.2,595.5,693.1,4263,8475,7613
BBS12,uc003ieu.2,6.7,4.9,5.7,333,386,350
BCAP31,uc004fid.2,386.2,390.5,454.2,6103,10550,9578
TUBB6,uc002kqw.2,492.1,433.3,503.9,7425,11681,10659
EXOSC5,uc002oqo.2,41,35.4,41.2,606,919,824
GLRX5,uc001yem.1,120.2,109.9,127.7,1009,1613,1477
CCT5,uc003jeq.2,652.3,760.8,884.3,10108,21185,19041
PSMC4,uc002omq.2,128.1,156.3,181.7,3424,7033,6540
IGFBP3,uc003tns.2,34.6,30.1,34.9,633,990,871
NUDT16L1,uc002cxe.2,54.7,38.1,44.3,720,881,793
PTPN2,uc002krp.2,10,10.7,12.5,234,427,391
SHC3,uc004aqg.2,14.4,16.3,19,569,1045,974
EPN2,uc002gvd.3,14.4,10.9,12.7,600,759,698
SLC7A6OS,uc002evw.1,44.1,40,46.5,861,1341,1231
C22orf29,uc002zqh.2,9.8,5.8,6.8,229,231,212
ZFP62,uc003mmn.3,17.5,9,10.4,977,843,755
ACTN1,uc001xkm.2,269.3,241.5,280.5,13946,22036,19885
ZNF586,uc002qqd.2,6.1,7,8.1,153,299,272
ARL6IP4,uc001ued.2,339,272.7,316.6,7665,10540,9718
CCDC25,uc003xgc.2,37.7,37,43,422,726,645
UPRT,uc004ecb.1,12.1,13.6,15.8,245,464,418
ATPAF2,uc002gse.1,20.7,20.2,23.4,379,640,580
HAGHL,uc002cjo.1,51.9,29.8,34.6,927,908,834
TM9SF3,uc001kmm.3,202.9,256.1,297.2,8079,16734,15146
SDHB,uc001bae.2,158.9,235.3,273,2785,7058,6316
CCNI,uc003hkm.2,134.2,141.5,164.2,3401,5965,5327
PPHLN1,uc001rng.1,65.1,89.7,104.1,1988,4491,4087
MARK2,uc001nxw.2,29.2,26,30.2,1498,2234,2060
DBN1,uc003mgy.2,331,317.9,368.8,13775,22608,20730
HNRNPD,uc003hmm.1,247.9,245.7,285,4307,7202,6658
NDUFB8,uc001kri.1,366.3,383.6,444.8,3744,6925,6181
MRPS24,uc003tit.1,383.3,398.8,462.4,3378,6095,5536
SDCBP,uc003xtq.2,85.6,77,89.3,793,1271,1116
DARS,uc002tux.1,129.1,176.4,204.5,4355,9929,8847
SRA1,uc003lga.2,115.3,122.4,141.9,1718,3133,2852
ATG4A,uc004enr.2,7.5,12.7,14.8,199,567,501
NDUFC2,uc009yuw.2,387.3,521.8,604.9,2923,6694,5974
FAM127A,uc004eyd.2,147.5,67.8,78.6,392,326,300
POR,uc003udy.2,110.4,122.8,142.4,4796,9280,8385
SNRPB,uc002wfz.1,1144.5,1230.5,1426.3,15719,29468,26677
SS18L1,uc002ycb.2,12.7,11.6,13.4,319,505,457
HNRNPU,uc001iba.1,391.3,410.5,475.8,19295,33707,30831
STARD3NL,uc003tfr.2,139.3,238.3,276.1,2154,6301,5503
CCT7,uc002siz.2,485.7,558,646.4,12002,24202,21772
ANP32B,uc004aya.2,223,188.5,218.3,1937,2873,2601
CNBP,uc003elq.3,656.5,986.8,1142.9,7420,19195,17085
SPCS3,uc003iur.3,84.9,117.7,136.4,990,2348,2059
C1orf86,uc001aix.1,42.7,33,38.2,619,829,747
C1orf122,uc001ccb.1,138.7,116.3,134.7,1288,1894,1718
GOLT1B,uc001rez.2,75.8,99.4,115.1,672,1505,1325
DYNLRB1,uc002xal.2,216.7,212.2,245.7,1089,1893,1675
M6PR,uc001qvf.2,270.9,337.5,390.7,4756,10233,9072
none,uc003tvt.3,18.9,22.5,26,155,323,286
ENY2,uc003ynd.2,181.1,255.2,295.4,932,2240,1996
PPIL1,uc003omu.2,55.5,62.5,72.4,544,1067,961
DHCR24,uc001cyc.1,172.7,210.4,243.5,5789,12480,10860
TNRC6B,uc011aor.1,4.8,4.7,5.5,596,958,872
CREG1,uc001gel.2,36.6,33.4,38.7,522,819,723
RC3H2,uc010mwc.1,13.2,15.6,18,1060,2084,1868
NFIC,uc002lxo.2,33.3,24.2,28,1015,1266,1159
GNA12,uc003smu.2,106.7,92.2,106.7,2583,3741,3457
TAGLN2,uc001fun.1,1161.4,951.2,1100.4,4381,6483,5867
SSR1,uc003mxf.3,108.8,150.4,173.9,2070,4723,4257
TESK2,uc001cns.1,4.7,3.4,3.9,179,212,192
NPM3,uc001ktt.2,95.8,101.5,117.4,1054,1904,1760
ALDH3A2,uc002gwa.1,33.8,25.2,29.1,1142,1410,1276
