Gene name,UCSC ID,G2 mRNA RPKM,M mRNA RPKM,G1 mRNA RPKM,G2 mRNA Read Count,M mRNA Read Count,G1 mRNA Read Count
RAP1GAP2,uc010ckd.2,21.9,20.2,13.6,1030,1620,860
KIF3A,uc003kxo.2,16.9,19.7,13.2,797,1515,802
RNF34,uc001ual.1,59.9,65.8,44.3,1457,2675,1413
SRPK1,uc003olj.2,56.8,78.2,52.6,2472,5716,2965
MLH3,uc001xrd.1,6.4,7.6,5.1,641,1246,649
ZNF187,uc003nku.3,18.5,20.4,13.7,422,788,404
FBRSL1,uc001ukf.2,17.6,14.7,9.9,1157,1683,887
FASTK,uc003wix.1,98.6,75.2,50.6,3448,4538,2398
TIMELESS,uc001slf.2,88.3,91.4,61.5,6984,12129,6456
SMYD4,uc002ftm.3,11.7,8.8,5.9,633,794,415
TRIM65,uc002jpx.2,23.3,16,10.8,783,901,481
EXOC6B,uc010fep.2,16,15.8,10.6,869,1438,745
TAF6L,uc001nvc.2,31,32.9,22.1,1247,2259,1191
RALGPS2,uc001glz.2,22.6,23.9,16.1,904,1527,810
HSF2,uc003pyu.2,14,20.5,13.8,477,1192,600
C9orf125,uc004bbm.2,42,42.3,28.4,1096,1901,986
DPP7,uc004clh.2,33.6,25.1,16.8,1069,1338,715
SLC38A2,uc001rpg.2,372.1,295,198,12596,16569,8603
CCDC138,uc002ten.1,8.8,17.3,11.6,403,1294,670
NBEA,uc001uvb.2,3.5,2.4,1.6,708,768,405
EIF2C4,uc001bzj.1,11.6,8.8,5.9,663,827,441
TBL1X,uc004csr.2,10.8,10.3,6.9,387,645,338
UHRF1BP1,uc003oju.3,13.6,11.9,8,1287,1892,1001
ZZZ3,uc001dhq.2,37,52.9,35.4,2257,5316,2779
APBA2,uc001zck.2,15.8,17.9,12,756,1493,775
NRP2,uc002vaw.2,2.9,4,2.7,178,394,218
NAA40,uc009yoz.2,22.6,23.9,16,339,607,322
ARHGEF25,uc009zpy.2,32.8,25.9,17.4,1331,1746,930
TOR2A,uc004brs.3,11.1,11.3,7.6,230,392,208
CSNK1G3,uc003ktl.2,27.3,38,25.4,845,1958,999
CDC20,uc001cix.2,226.7,205.2,137.5,2946,4686,2499
IKBKG,uc011mzr.1,20.4,16.7,11.2,545,778,408
BTN2A2,uc003nhq.2,11.8,8.2,5.5,355,422,219
SMCHD1,uc002klm.3,32.3,40.4,27.1,4429,9075,4732
CDC42BPA,uc001hqr.2,17.4,19.2,12.9,2031,3694,1925
ADAMTS15,uc010scd.1,3.7,2.5,1.7,242,252,139
NUMA1,uc001orl.1,105.5,73.2,49,14698,17086,9037
RMND5B,uc003mim.2,38,37,24.8,956,1601,838
FAM48A,uc001uwg.2,47.7,63.4,42.4,2494,5550,2866
EXPH5,uc001pkk.2,1.5,1.3,0.9,202,298,154
PAOX,uc001lmv.2,8.5,5.7,3.8,280,319,167
FANCE,uc003oko.1,13,12,8,449,696,372
WDR83,uc010dyw.2,24.6,17.7,11.9,485,621,320
C3orf67,uc003dkt.1,3,3.4,2.3,116,209,111
C16orf53,uc002dug.3,126.4,93.5,62.5,2023,2528,1355
C19orf44,uc002neh.1,8.4,6.3,4.2,364,457,241
PKP4,uc002tzv.2,40.9,46.4,31,3066,5776,3096
8-Sep,uc003kxr.2,61.5,59.5,39.8,1920,3133,1654
FBXL6,uc003zcb.2,39.7,34.6,23.1,1363,2050,1076
RAB3GAP1,uc002tuj.2,65.1,67.3,44.9,4246,7261,3828
HERC5,uc003hrt.2,6.5,7,4.7,460,815,418
AKAP9,uc003ulg.2,15,15.1,10.1,4031,6682,3430
COBLL1,uc002ucp.2,4.1,5.6,3.7,320,740,379
DPY19L4,uc003ygx.2,30.2,32,21.3,1402,2547,1288
ATL2,uc002rqq.2,40,52.7,35.1,1602,3377,1771
HERC3,uc003hrw.1,6.5,5.6,3.7,449,649,338
PARD3,uc010qej.1,19.7,25.3,16.9,1809,3884,1992
CHD6,uc002xka.1,19.4,14.9,9.9,3518,4479,2349
SLC39A10,uc002utg.3,17,17.7,11.8,981,1597,849
ETAA1,uc002sdz.1,19.1,21.2,14.1,1206,2202,1131
EHMT1,uc011mfc.1,30.2,31.7,21.2,2554,4538,2388
MVK,uc001toy.3,27.4,26.6,17.7,706,1154,604
SMC1A,uc004dsg.2,62.1,69.1,46,5052,9258,4940
ACSF3,uc010cig.1,41.7,34.9,23.2,1541,2190,1157
CLK2P,uc003swk.2,12,7.3,4.8,204,207,108
MUM1,uc002lrz.2,44.7,45.9,30.5,2096,3587,1880
CEP95,uc002jem.2,20.9,22.3,14.8,1168,2060,1057
C2orf74,uc010ypm.1,18.6,23.4,15.6,239,504,256
MIB2,uc001agg.2,41.5,28.9,19.2,2711,3212,1688
DNAH14,uc001how.2,1.1,1.7,1.1,343,865,439
NGLY1,uc003cdl.2,36.9,49.8,33.1,1627,3623,1874
LRFN3,uc002oco.2,7.1,4.1,2.7,282,289,149
UHRF2,uc003zjy.2,28.4,29,19.3,1396,2426,1248
PDGFRB,uc003lro.2,21.8,24.6,16.3,1655,2955,1569
none,uc003vsl.2,79.7,76.4,50.8,785,1283,670
APEX2,uc004dtz.2,47.6,44.2,29.3,1595,2582,1313
ZNF180,uc002ozf.3,6.9,8.2,5.4,312,636,322
ZNF33B,uc001jaf.1,3.2,2.5,1.7,158,204,107
MADD,uc001ner.1,24.3,21.9,14.5,2661,3977,2084
PHACTR4,uc001bpw.2,17.6,20.6,13.7,829,1599,831
DNMT1,uc010xlc.1,81.7,104,68.9,8747,18536,9803
KLHDC3,uc003otl.2,91.9,94.4,62.6,2294,3982,2058
PPP1R8,uc001bov.1,61,79.4,52.6,1259,2831,1458
DDX10,uc001pkm.2,11.4,11,7.3,611,985,524
THAP9,uc003hnt.2,3.2,4.4,2.9,202,467,231
INPP4B,uc003iiw.3,25.3,24.3,16.1,1547,2502,1289
NCKIPSD,uc003cun.2,39.4,32.4,21.4,1832,2612,1341
WDR6,uc003cvj.2,148,101.8,67.4,11058,12860,6742
STRN3,uc001wqu.2,26.2,32,21.2,1410,2848,1463
UTRN,uc003qkt.2,15.9,15,9.9,3713,5646,2967
SPATA5,uc003iez.3,7.3,9.6,6.3,439,949,491
HDAC7,uc010slo.1,117.7,96.3,63.8,7484,10642,5482
DNAH11,uc003svc.2,5.8,4.6,3,1748,2329,1202
C14orf101,uc001xcm.2,7.7,7.3,4.8,361,571,295
NOD1,uc003tav.2,10.5,10,6.6,657,1066,546
PIEZO1,uc002flo.3,148.2,164,108.4,1162,2272,1162
RTKN,uc002sle.2,21.8,17,11.3,794,1048,548
EXD3,uc004cmp.2,10.4,4.3,2.8,601,420,214
AKAP10,uc002gwo.2,24,30.5,20.2,1070,2249,1155
TUBGCP5,uc001yur.3,12.4,14.9,9.8,848,1703,873
LOC81691,uc002dhv.2,20,22.6,14.9,1041,1968,1001
NR2C2,uc003bzi.2,14.5,11.9,7.9,595,811,419
GABPB1,uc001zyb.2,30.4,49.7,32.8,809,2155,1116
KCTD6,uc003dkj.3,13.7,14.6,9.7,217,382,195
OXR1,uc003ymf.2,11.5,13.9,9.2,659,1335,667
FRMD4A,uc001ims.2,16.2,15.1,10,1101,1719,902
PLEKHN1,uc001acd.2,15.5,10.3,6.8,603,682,358
PANK1,uc001kgp.1,6.2,6.4,4.2,237,431,218
ZMIZ2,uc003tlr.2,51.3,41.5,27.4,2992,4187,2166
RAVER2,uc001dbs.1,16.5,23.6,15.5,756,1802,913
BTBD9,uc010jwx.2,5.8,4.5,2.9,236,299,156
POC1A,uc003dcu.2,88.9,96,63.3,2339,4277,2218
none,uc003qwd.2,35.9,36.4,24,4382,7354,3829
none,uc003pdf.2,34.5,31.3,20.7,13247,19895,10241
MTA1,uc001yqx.2,81.4,86.2,56.8,3793,6719,3518
KRIT1,uc003ulu.1,23.3,25.9,17.1,1167,2093,1090
CCDC97,uc002oqg.2,26,20.5,13.5,569,787,397
MTHFD2,uc002skk.2,288.2,329.1,216.8,3451,7247,3603
NUP35,uc002upf.2,28.3,40.6,26.8,569,1393,708
FGD4,uc001rkz.2,7.6,8.4,5.5,392,735,368
SEMA3C,uc003uhj.2,81.8,80.7,53.1,4257,6603,3460
DSCC1,uc003yov.2,14.5,23.9,15.7,382,1043,532
NUP160,uc001ngm.2,41.4,53.4,35.2,4015,8592,4395
STAT2,uc001slc.2,32.8,18.9,12.4,1882,1807,917
POLI,uc002lfj.3,16.7,17.6,11.5,844,1474,740
SCN9A,uc010fpl.2,21.5,23.4,15.4,2789,5086,2608
ARL6,uc003drv.2,5.9,12,7.9,74,247,124
RAD51B,uc001xkf.1,12.1,14.7,9.7,314,640,320
INADL,uc001dab.2,5.6,5.6,3.7,672,1135,580
TGIF1,uc002klz.2,50.1,36.3,23.8,1231,1560,779
RBM23,uc001whg.2,66.6,55.8,36.6,1927,2705,1385
ANAPC2,uc004clr.1,54.1,49.5,32.5,2857,4427,2317
MOV10,uc001eck.2,66.3,56.6,37.1,4356,6315,3236
MAP4K3,uc002rro.2,21.7,34.2,22.4,1317,3484,1739
THAP10,uc002asv.2,12.3,12.4,8.1,203,340,178
TADA2A,uc002hnv.2,23.2,28.7,18.8,690,1425,718
PSKH1,uc002euv.2,48,40.1,26.3,1311,1834,958
WDFY1,uc002vnq.2,82.5,94.4,61.9,2199,4242,2186
WDR60,uc003woe.3,19.6,20.3,13.3,1412,2416,1235
ENOX2,uc004evw.2,12.2,16.7,11,486,1122,578
RASSF7,uc001lqc.2,83.9,49.6,32.5,1958,2081,1042
DALRD3,uc003cvk.1,46.9,36.6,24,1647,2228,1125
PTK7,uc003oub.1,76.6,54.9,36,5359,6540,3345
ZIK1,uc002qpg.2,4.8,4.7,3.1,150,248,127
ODZ3,uc003ivd.1,10.9,13.1,8.6,1989,3933,2017
LEF1,uc003hyt.1,5,5.6,3.7,134,244,126
POLR3B,uc001tlp.2,14.4,19.7,12.9,1085,2516,1271
INTS7,uc001hiw.1,20.3,28.7,18.8,1329,3087,1573
SMAD4,uc010xdp.1,48.4,54.3,35.5,1779,3297,1696
PAX6,uc009yjr.2,53.6,53.2,34.8,1495,2443,1267
C16orf70,uc002erd.2,24.1,28.1,18.4,667,1322,668
ERBB2,uc002hso.2,36.9,30.9,20.2,3008,4349,2210
FANCC,uc004avh.2,10.7,12.7,8.3,403,798,400
MLYCD,uc002fgz.2,21.9,20.3,13.3,692,1107,565
FZD3,uc003xgx.2,2.4,3,2,112,231,114
CXorf23,uc004czp.2,6.8,8,5.2,315,615,308
SVEP1,uc010mtz.2,1.3,0.9,0.6,299,385,189
KIAA1009,uc010kbp.2,6.6,7.9,5.2,646,1254,631
ZNF420,uc002ofl.2,2.8,3.6,2.3,127,273,137
MED23,uc003qcs.1,17.4,22.5,14.7,1600,3442,1746
HLTF,uc003ewr.1,23.9,26.5,17.3,1674,2981,1517
C9orf114,uc004bwd.2,44.9,45.3,29.5,1061,1857,955
ADCK4,uc002oor.2,32,21.4,14,1117,1287,656
TRAPPC11,uc003ivx.2,32.5,38.1,24.8,2511,4771,2446
SMARCAD1,uc003htb.3,38.2,40.5,26.4,2692,4806,2356
WDR24,uc002ciz.1,19.5,13.8,9,994,1176,614
CCAR1,uc001joo.2,81.7,104.4,68,6385,13270,6799
KAT7,uc002ipm.2,11,9,5.9,432,590,304
INTS3,uc001fct.2,42.5,36.8,23.9,2952,4215,2169
UBR4,uc001bbi.2,49.1,39.4,25.7,16748,23159,11616
ZNF75A,uc002cut.3,18.6,24.4,15.9,356,795,400
PRIM2,uc003pdx.2,46.6,54.4,35.4,1596,3042,1554
THBS3,uc001fix.2,33.7,28.7,18.7,2158,3006,1550
SPECC1L,uc002zzv.3,22.1,22,14.3,1628,2724,1388
BDH1,uc003fxs.2,24.7,28.7,18.6,543,1082,549
PIAS1,uc002aqz.2,13.1,17.2,11.2,576,1277,629
TMEM102,uc002ggx.1,6,3.9,2.5,197,224,110
COL6A1,uc002zhu.1,36.3,25,16.2,2446,2814,1446
,,24.7,25.2,18.4,,,
GUCY1B3,uc003ipc.2,4.1,6.3,4.1,170,426,219
PRRC2B,uc004can.3,59.7,46.5,30.2,8633,11378,5862
ATM,uc001pkb.1,11.3,10.2,6.6,2388,3550,1770
RBM25,uc001xno.2,49.2,46.4,30,2750,4266,2195
L3MBTL1,uc002xkl.2,8.4,4.5,2.9,419,384,193
TBC1D4,uc001vjl.1,15,15,9.7,1269,2154,1098
ST5,uc001mgt.2,32.6,27.9,18.1,2485,3483,1787
ZBTB25,uc001xhf.2,4.9,4.6,3,144,227,112
CEP55,uc009xug.2,243.2,386.2,250.1,7620,19756,10017
DOCK9,uc001vnt.2,12,10.9,7,1663,2505,1265
ZC3H14,uc001xww.2,56.4,73.3,47.4,2786,6083,3024
AUTS2,uc003tvw.3,3.6,3,2,305,410,215
NTN4,uc001tei.2,65.8,61,39.5,2719,4178,2146
WDSUB1,uc002ual.3,18.2,20.4,13.2,582,1087,541
SIPA1,uc001ofb.2,20.9,17.6,11.4,1400,2048,1031
LAMB2,uc003cwe.2,134.6,102,65.9,15804,20753,10322
DEDD2,uc002osu.1,75.4,63.7,41.2,1502,2260,1133
ZADH2,uc002llx.2,35.7,33.3,21.5,872,1383,697
MLLT10,uc001iqy.2,12.7,15.5,10,858,1727,877
MPST,uc011amu.1,52.1,36.1,23.3,1031,1234,634
XPO1,uc002sbj.2,315.7,414.5,267.7,23109,49509,24928
IFRD1,uc003vgh.2,184.1,215.9,139.5,5471,11098,5426
CYTH3,uc003spt.2,57.1,43.8,28.3,1445,1920,964
MKL2,uc002dcg.2,6.1,5.7,3.7,432,662,336
KDM4A,uc001cjx.2,35.2,26.9,17.4,2471,3134,1608
DCP2,uc003kqh.2,10.3,12.3,7.9,290,585,287
PHF21A,uc001ncc.3,14.8,15.3,9.8,692,1128,580
SLC25A36,uc003etr.2,60.9,82.6,53.3,1251,2866,1420
C14orf135,uc001xer.3,48.7,59.1,38.1,3090,6322,3107
METTL8,uc010zdo.1,4.7,5.3,3.4,127,236,118
ARHGAP29,uc001dqj.3,150.9,149.1,96.1,12850,21312,10534
PELI3,uc001oic.3,19.8,14.5,9.3,593,760,377
ZBTB20,uc003ebn.2,4.8,4.2,2.7,210,317,155
CCDC147,uc001kyh.2,2.5,2.4,1.6,147,250,118
KIAA1549,uc003vuk.3,5.6,6.4,4.1,702,1347,673
ABCC10,uc003ouy.1,9,7.1,4.6,851,1174,591
C1orf109,uc001cbp.2,41,41.5,26.7,519,882,459
USP40,uc010zmr.1,31.6,33.7,21.7,2641,4672,2349
POLK,uc003kdw.2,21.8,23.9,15.4,1302,2293,1162
IQCB1,uc010hre.1,12.2,16.1,10.3,460,1038,519
AKAP1,uc002iux.2,24.4,25.3,16.3,1403,2541,1266
YTHDC2,uc003kqn.2,18.6,22.3,14.3,1812,3587,1782
CEP135,uc003hbi.2,9.4,8,5.1,736,986,506
MAP4K2,uc001obh.2,19.5,17.4,11.2,1042,1583,794
ITGA7,uc001shh.2,172.7,152.3,97.6,12717,19155,9677
WDR78,uc001dcx.2,5.1,5.8,3.7,299,574,275
NIT1,uc001fxv.1,47.6,37.7,24.1,999,1369,677
PLSCR1,uc003evx.3,37.4,44.8,28.7,777,1530,772
SUV39H2,uc001inj.2,12.7,18.7,12,287,704,353
DGKQ,uc003gbw.2,24.1,17.4,11.1,1425,1834,909
FMNL2,uc002tye.2,46.9,48.4,31,3416,5934,2933
SPG11,uc001ztx.2,12.3,10.9,7,2054,2940,1481
CCDC61,uc002pdw.2,14.3,12.3,7.9,481,697,360
MZF1,uc002qtn.2,18.4,6.9,4.4,870,560,279
TRPV1,uc010vrt.1,3,2.2,1.4,165,202,101
KIF16B,uc002wpg.1,7.5,6.6,4.2,668,952,485
PHLDB2,uc003dyg.2,36.3,42.1,26.9,3094,5867,2928
PCNXL2,uc001hvl.2,5.9,5.4,3.4,834,1274,640
TNKS2,uc001khp.2,54.4,56.3,35.9,4296,7326,3643
DHX32,uc001ljf.1,43.8,62.9,40.1,2203,5305,2584
SLC5A3,uc002yto.2,6.5,7.6,4.8,319,612,301
CENPT,uc002eun.3,98.6,99.2,63.3,3583,6105,3070
AARS2,uc010jza.1,21.4,16.2,10.3,1356,1695,885
RBCK1,uc002wdp.3,217.3,203.4,129.6,7023,11456,5704
PPIL4,uc003qmo.1,26.9,35.5,22.6,850,1924,940
TMEM44,uc003fud.2,26.2,22.6,14.4,748,1070,545
LRRK1,uc002bwr.2,3.3,2.8,1.8,447,623,312
BFSP1,uc002wpo.2,5.1,5.8,3.7,229,437,211
RBM26,uc001vky.2,29.7,36.7,23.3,1956,3971,1986
HERPUD2,uc003tes.3,28.7,23.1,14.7,778,1024,514
HACE1,uc003pqu.1,16,18,11.5,978,1851,904
CBS,uc002zcu.2,101.1,79.8,50.7,3527,4817,2415
none,uc001teq.2,4,3.1,2,186,239,119
FAM135A,uc003pfj.2,3.7,5.2,3.3,382,893,437
PEX1,uc003uly.2,20.9,26,16.5,1807,3801,1845
SPSB2,uc001qrl.2,31.9,20.3,12.9,526,589,289
ABHD3,uc002ktl.2,12.6,19.6,12.4,352,914,438
MEN1,uc001obn.2,65.1,55.5,35.3,2580,3834,1877
PCSK7,uc001pqr.2,19.3,19.4,12.3,950,1623,821
SPATA7,uc001xwq.2,13.5,15,9.5,557,1012,493
RBL2,uc002ehi.3,89.8,83.5,53,6887,10675,5241
TBC1D25,uc004dka.1,15.5,11.8,7.5,682,906,444
ORC1,uc001ctt.2,21.5,27.6,17.5,1252,2650,1309
KSR1,uc010crg.2,6.5,4.6,2.9,331,394,193
C4orf29,uc003ifr.2,8,8.8,5.6,223,409,200
NALCN,uc001vox.1,9.2,9.6,6.1,1056,1834,923
KRCC1,uc002sso.1,62.9,95.4,60.4,1074,2800,1331
OBSL1,uc010fwk.2,98,84.9,53.8,12037,18001,8884
PTPRS,uc002mbv.2,22.7,19.8,12.5,2913,4300,2122
VPS25,uc002ibi.2,130.3,124.8,78.9,1421,2381,1154
LAMA5,uc002ycq.2,8,4.5,2.8,1972,1893,910
MINK1,uc010vsl.1,41.4,33.3,21,3546,4904,2430
CHKB,uc003bmv.2,44.5,40.3,25.5,1151,1782,866
ZNF215,uc001mey.2,6.6,8.2,5.2,224,464,231
XPO4,uc001unq.3,12.1,16.2,10.3,934,2065,1025
ZDHHC13,uc001mpi.2,37.4,56.6,35.7,1581,4023,1925
ZNF287,uc002gqi.2,7.5,9,5.7,387,757,372
ENO2,uc001qru.1,146.4,109.7,69.3,3878,4970,2456
RRP8,uc001med.2,41.8,44.3,28,1218,2239,1101
ZNF446,uc002qsz.2,19.8,13.7,8.7,573,680,336
RNF123,uc003cxh.2,36.5,30.9,19.5,3104,4528,2226
MED15,uc002zsq.2,40.6,44,27.8,1922,3597,1773
KIF21A,uc001rlx.2,9.6,13.1,8.3,1068,2463,1195
GLYCTK,uc003ddo.2,17.2,11.4,7.2,574,648,325
PTPRK,uc010kfc.2,25.5,28.4,17.9,2517,4459,2252
PDS5B,uc010abf.2,14.8,19.7,12.4,1470,3198,1566
MYBL2,uc002xlb.1,41.4,72.6,45.7,1891,5619,2777
SDK1,uc003smx.2,5.7,3.8,2.4,837,929,459
BUD13,uc001ppn.2,25.1,25.9,16.3,1014,1750,873
TRIM68,uc001lzf.1,20.6,16.7,10.5,644,874,440
SIPA1L1,uc001xms.2,6.3,6.6,4.2,756,1296,655
RAB40C,uc002chr.2,26.7,22.3,14,476,679,333
ROBO1,uc003dqe.2,3.6,3.3,2.1,404,595,297
CDYL,uc003mwj.2,22.2,24.2,15.3,785,1441,713
KDM4B,uc002mbq.3,29.6,20.6,13,2110,2488,1233
GPT2,uc002eel.2,109.7,120.4,75.7,3618,6913,3414
ADAM23,uc002vbq.2,13.5,13,8.2,752,1166,589
PPIL2,uc002zvg.3,17.6,16.3,10.2,606,940,459
EPHB4,uc003uwn.1,58.4,43.6,27.4,3728,4777,2345
FAM111B,uc001nnl.2,5.9,6.7,4.2,299,533,268
WHSC1,uc003gdz.3,130.1,123.6,77.6,11605,18407,9170
NSUN3,uc003drl.1,10.6,15.1,9.5,238,583,277
C3orf23,uc003cnd.3,25.6,23.4,14.7,859,1302,629
CENPP,uc004arz.2,6.6,9.1,5.7,124,282,140
SPAG5,uc002hbq.2,114.9,144.4,90.6,9132,18924,9404
CACNA2D1,uc003uhr.1,14.3,20.7,13,1063,2561,1233
FANCD2,uc003buw.2,23.9,27.9,17.5,2307,4475,2185
NLRC5,uc002ekk.1,7,8.6,5.4,871,1761,872
TIMM9,uc001xds.2,47.1,51.4,32.2,229,428,210
GRB14,uc002ucl.2,4,3.7,2.3,143,210,107
ZNF638,uc002shy.2,34.6,46.7,29.3,4734,10406,5044
TNPO2,uc002muo.2,59.6,53,33.2,3501,5157,2586
CXXC1,uc002ler.3,39,34.5,21.6,1638,2521,1233
ACAP3,uc001aeb.2,24,25.8,16.2,1286,2343,1169
R3HDM2,uc009zpm.1,25.5,19.1,11.9,1633,2051,1009
ZDHHC17,uc001syk.1,43.1,58.4,36.5,1852,4213,1997
ARAP3,uc003llm.2,39.9,38.3,24,4065,6479,3221
NCAPD3,uc001qhd.1,55.8,70.3,43.9,5565,11695,5734
ARID1B,uc003qqn.2,21.9,21.9,13.7,3243,5447,2660
none,uc002pas.2,52.2,48.6,30.4,588,937,459
CSRP2BP,uc002wqj.2,16.8,20.2,12.6,871,1747,856
CABIN1,uc002zzi.1,17.3,17.2,10.8,2527,4246,2082
SLC43A2,uc002fsv.2,16.2,10.7,6.7,597,690,328
FYN,uc003pvh.2,69.4,80.2,50.1,2413,4694,2311
TOX2,uc010ggo.2,18.3,14.5,9,611,816,395
PUM2,uc002rds.1,48.2,60.1,37.5,3485,7176,3452
TOM1L2,uc002grz.3,18.2,20.9,13,604,1152,569
TMCO4,uc001bcn.2,28,27.2,17,1158,1905,932
CABLES2,uc002ycv.2,12,11.6,7.2,369,621,297
TMEM159,uc002dif.3,18.8,14.1,8.8,194,251,119
BRCA1,uc002ict.2,29.5,34,21.2,3767,7137,3474
ADAMTS6,uc003jtp.2,15.5,14.3,8.9,1126,1810,862
RNF44,uc003mek.1,26.3,23.8,14.8,718,1147,551
ASXL1,uc002wxs.2,70.7,66.8,41.5,7228,11408,5570
BMP4,uc010aoh.2,46.2,34.3,21.3,1241,1551,750
ABCB6,uc002vkc.1,18.3,15.8,9.8,1024,1451,719
MKS1,uc002ivr.1,18.4,18.6,11.5,669,1145,558
USP54,uc001juo.2,11.6,8.4,5.2,1314,1574,770
BCL2L12,uc002ppa.2,31.7,34,21.1,631,1170,576
CDK14,uc003ukz.1,16.3,18.1,11.3,500,891,438
PLEKHG5,uc001ano.1,31.5,20.4,12.7,2163,2341,1170
CDCA4,uc001yqb.2,83.6,71.8,44.5,1213,1831,868
HGSNAT,uc003xpx.3,20.4,20,12.4,869,1451,682
EBF1,uc010jip.2,4,4.1,2.5,165,265,130
KLHL12,uc001gyo.1,18.5,18.2,11.2,628,1094,514
MXD3,uc003mgb.2,54,20.5,12.7,714,448,222
FASTKD1,uc002uev.3,7.9,13.1,8.1,438,1226,588
FLOT2,uc002hdc.2,100.2,60.5,37.4,2764,2792,1379
EXOC6,uc001kig.2,16.8,21.3,13.2,910,1910,918
DHX40,uc002ixn.1,39.7,41.5,25.6,1849,3233,1535
ACAD10,uc009zvx.2,29.7,29.1,17.9,2153,3535,1699
RHOT1,uc002hgw.2,33.1,44.4,27.4,1550,3373,1624
PUM1,uc001bsh.1,45.1,44.6,27.5,3562,5853,2836
CEP57,uc001pfp.1,91.7,131.5,81.1,2901,7096,3311
BAZ2B,uc002uao.2,5.4,6.9,4.2,827,1656,800
YEATS4,uc001sux.2,43.8,51.3,31.7,663,1280,612
CLCN6,uc001ate.3,15.2,12.1,7.5,870,1177,564
SETDB2,uc001vda.2,5.9,7.6,4.7,283,601,288
ZFYVE16,uc003kgq.3,15.3,23.8,14.7,1629,4141,1965
C14orf21,uc001wol.1,41.8,26.7,16.5,1733,1866,906
IFT80,uc011boy.1,32.5,32.2,19.9,1685,2737,1312
EME2,uc002cmq.1,5.5,4.2,2.6,155,204,100
NRBP2,uc011lkt.1,60.3,29.7,18.3,1925,1616,791
TMEM48,uc001cvs.2,67,101.3,62.4,3066,7690,3645
HMMR,uc003lzh.2,274.4,513.5,316.1,13625,42422,19873
KIRREL3,uc001qea.2,14.4,13.7,8.4,700,1149,569
DMXL1,uc003ksd.2,11.6,8.9,5.5,2415,3025,1446
TNIK,uc003fhh.2,4.5,4.5,2.7,426,683,324
MAST2,uc001cov.2,32.1,32.3,19.9,3760,6567,3111
WDR59,uc002fdh.1,34.6,32.7,20.1,2210,3538,1688
MPP3,uc002iei.3,20.8,23.4,14.4,776,1526,728
NPAS2,uc002tap.1,16.7,14.3,8.8,928,1260,626
FAM13A,uc003hse.1,8.9,11.4,7,618,1287,622
F8,uc004fmt.2,1,0.8,0.5,165,222,106
FAM100B,uc010wsy.1,99,70.2,43.1,975,1200,577
KIAA1524,uc003dxb.3,62.5,78.6,48.2,3861,7927,3791
TMPO,uc001tfh.1,119,156.3,95.9,5264,11680,5556
CCDC84,uc001pul.2,53.9,86.5,53.1,1125,3166,1491
PKD1,uc002cos.1,20.6,12.5,7.7,4624,4982,2380
CCDC132,uc003umo.2,26.2,37,22.7,1710,4074,1899
LPP,uc003frs.1,6.6,6.9,4.2,282,480,225
SKP2,uc003jkc.1,20.5,26.8,16.4,575,1268,600
COL5A2,uc002uqk.2,22.8,19.9,12.2,2315,3313,1591
TELO2,uc002cly.2,109.8,101.2,62,5799,9277,4505
MCM3AP,uc002zir.1,41.5,44,27,5360,9558,4653
CDK10,uc010cio.2,88.5,69.2,42.4,2032,2752,1311
PDE7A,uc003xvp.2,7.9,13.8,8.4,239,701,332
NFS1,uc002xdw.1,49.3,45,27.6,1460,2221,1087
ADAT2,uc003qjj.2,10.4,11,6.8,126,224,109
CCDC125,uc003jvv.1,9.9,12.9,7.9,349,703,349
DAGLB,uc003sqa.2,36.5,39.4,24.1,1576,2932,1405
GSTA4,uc003pbf.2,15.4,14,8.6,227,334,162
SLC35A1,uc011dzj.1,16.3,18.9,11.6,360,725,335
ADCK5,uc003zch.2,20.8,12.9,7.9,773,832,394
KRI1,uc002moy.1,33,25.2,15.4,1495,1922,946
TECPR1,uc003upg.2,29.4,18.8,11.5,2174,2428,1165
IKBKB,uc003xow.1,67.4,49.6,30.3,3326,4130,1986
CDKN1B,uc001rat.2,117.2,94,57.4,1500,2015,964
PDE1C,uc003tcs.2,32,27.7,17,1329,2012,931
VRK1,uc001yft.2,52.5,80.5,49.2,1394,3575,1677
RWDD3,uc009wdu.2,27.7,36.2,22.1,497,1086,504
SIRT3,uc001lok.3,32.1,25.8,15.7,821,1115,540
USP1,uc001dak.1,50.3,59.4,36.2,2680,5218,2469
METTL23,uc002jsr.2,66.6,77.1,47,829,1620,756
GMNN,uc003nen.2,84.9,153.5,93.6,1184,3515,1659
FUK,uc002eyy.2,21.7,16.6,10.1,1506,1979,953
TTC17,uc001mxi.2,59.8,73.6,44.9,4570,9480,4450
RPTOR,uc002jyt.1,18.5,15,9.1,1595,2225,1061
KLHL22,uc002zsl.1,23.2,21.6,13.2,965,1533,723
TSC1,uc004cca.2,16.5,16.7,10.2,1286,2182,1031
TRERF1,uc003osd.2,16.5,15.4,9.4,1308,2011,978
TUBGCP3,uc001vse.1,29.9,31.2,19,1782,3123,1486
CTH,uc001dfd.2,8.4,14,8.5,221,657,297
CALHM2,uc001kxa.2,15.9,12.3,7.5,333,448,207
DDIT4,uc001jsx.1,323.2,173,105.3,4709,4426,2081
HINFP,uc001pvq.2,31.8,28.2,17.2,1073,1618,766
KLF12,uc001vjf.2,8.8,8.1,4.9,234,360,171
